,first,second,count
246,isme,illarde,0
247,isme,igu[VB],0
248,isme,ig[VB],0
249,isme,oi[VB],42
250,isme,isson,0
251,isme,oyantes,0
252,isme,ul[VB],0
253,isme,lur[VB],0
254,isme,iér,0
255,isme,ilent,0
256,isme,ique2,0
257,isme,et1,0
258,isme,ûre,0
259,isme,ûres,0
260,isme,illé,0
261,isme,sant,0
262,isme,ait,0
263,isme,ement[VB],0
264,isme,ass[VB],0
265,isme,ci[VB],0
266,isme,ad[VB],0
267,isme,acé,0
268,isme,ifér[VB],0
269,isme,ab,0
270,isme,a,126
271,isme,ad,0
272,isme,ambi,0
273,isme,anté,6
274,isme,co,24
275,isme,com,13
276,isme,con,229
277,isme,dé,416
278,isme,mé,0
279,isme,mi,0
280,isme,ob,0
281,isme,pan,0
282,isme,pour,42
283,isme,pré,36
284,isme,pro,0
285,isme,rétro,0
286,isme,sau,0
287,isme,sous,0
288,isme,soubre,0
289,isme,sub,0
290,isme,sur,116
291,isme,sus,0
292,isme,syn,0
293,isme,trans,84
294,isme,tri,0
295,isme,ultra,0
296,isme,uni,72
297,isme,ver,0
298,isme,vi,0
299,isme,ana,0
300,isme,anti,28
301,isme,apo,0
302,isme,arch,0
303,isme,archi,0
304,isme,au,42
305,isme,bi,10
306,isme,bis,0
307,isme,contre,0
308,isme,dia,0
309,isme,dys,0
310,isme,entre,0
311,isme,épi,0
312,isme,eu,3
313,isme,extra,0
314,isme,hémi,10
315,isme,hyper,0
316,isme,hypo,0
317,isme,infra,0
318,isme,inter,11
319,isme,juxta,0
320,isme,mono,0
321,isme,par,0
322,isme,para,0
323,isme,pén,0
324,isme,per,24
325,isme,péri,0
326,isme,post,0
327,isme,sé,0
328,isme,super,0
329,isme,su,0
330,isme,tres,0
331,aire,ment,844
332,aire,age,55
333,aire,oir,22
334,aire,aye,0
335,aire,ion,1726
336,aire,able,453
337,aire,ant/ent,264
338,aire,eur,446
339,aire,nce,30
340,aire,ique,35
341,aire,ité,656
342,aire,enda,0
343,aire,il,0
344,aire,ium,0
345,aire,al,141
346,aire,é,70
347,aire,i,0
348,aire,is,0
349,aire,elle,0
350,aire,rium,0
351,aire,esque,0
352,aire,ade,0
353,aire,eau,0
354,aire,er,0
355,aire,et,10
356,aire,ada,0
357,aire,ie,7
358,aire,ure,65
359,aire,ite,3
360,aire,an,0
361,aire,ail,0
362,aire,mat,0
363,aire,ice,0
364,aire,ette,7
365,aire,erine,0
366,aire,ot,4
367,aire,uchon,0
368,aire,uch,0
369,aire,on,36
370,aire,ole,13
371,aire,oul,0
372,aire,ère,34
373,aire,aille,2
374,aire,ène,0
375,aire,ard,3
376,aire,ou,0
377,aire,non,0
378,aire,ing,0
379,aire,éria,0
380,aire,euse,0
381,aire,ier,142
382,aire,asse,0
383,aire,abre,0
384,aire,ide,35
385,aire,ine,0
386,aire,o,74
387,aire,ien,0
388,aire,este,0
389,aire,illon,0
390,aire,ime,5
391,aire,être,0
392,aire,êtres,0
393,aire,in,738
394,aire,if,1037
395,aire,abule,0
396,aire,ille,0
397,aire,ingue,0
398,aire,ende,6
399,aire,ace,21
400,aire,aste,0
401,aire,ol,0
402,aire,oire,115
403,aire,eux,47
404,aire,erie,9
405,aire,ités,152
406,aire,eul,0
407,aire,èche,0
408,aire,ené,0
409,aire,enée,0
410,aire,ifier,126
411,aire,[VB],1065
412,aire,ibard,0
413,aire,èse,0
414,aire,étique,0
415,aire,ule,0
416,aire,ose,3
417,aire,ésim,0
418,aire,at,39
419,aire,ogne,0
420,aire,ève,0
421,aire,igne,0
422,aire,ingre,0
423,aire,arade,0
424,aire,andum,0
425,aire,iard,45
426,aire,um,0
427,aire,cule,0
428,aire,cules,0
429,aire,dre,0
430,aire,etée,0
431,aire,one,0
432,aire,urne,0
433,aire,ande,0
434,aire,ïa,0
435,aire,­[VB],0
436,aire,ote,0
437,aire,re,527
438,aire,oy[VB],0
439,aire,elé,0
440,aire,el,221
441,aire,ain,28
442,aire,ude,2
443,aire,u,0
444,aire,iste,44
445,aire,iatre,0
446,aire,iatres,0
447,aire,iatr,0
448,aire,eut,0
449,aire,éfact,0
450,aire,iceps,0
451,aire,aine,5
452,aire,uor,0
453,aire,ple,5
454,aire,ars,0
455,aire,is[VB],243
456,aire,acle,0
457,aire,end,0
458,aire,esse,0
459,aire,ouille,0
460,aire,âtre,7
461,aire,otte,0
462,aire,aume,0
463,aire,oche,0
464,aire,ifi[VB],69
465,aire,lège,0
466,aire,aud,0
467,aire,etés,0
468,aire,igaud,0
469,aire,erelle,0
470,aire,iller,0
471,aire,ario,0
472,aire,ifique,0
473,aire,eresse,0
474,aire,émie,0
475,aire,acre,0
476,aire,ifère,0
477,aire,ol[VB],0
478,aire,ar,0
479,aire,ate,0
480,aire,ore,0
481,aire,ell,0
482,aire,ise,13
483,aire,ir,0
484,aire,ème,0
485,aire,in[VB],0
486,aire,atie,0
487,aire,iques2,0
488,aire,inet,0
489,aire,inière,0
490,aire,estre,0
491,aire,ce,0
492,aire,aill[VB],0
493,aire,ereau,0
494,aire,oi,0
495,aire,oie,0
496,aire,oïd,3
497,aire,atum,0
498,aire,arienne,0
499,aire,il[VB],0
500,aire,bule,24
501,aire,ble[VB],0
502,aire,eron,0
503,aire,oble,0
504,aire,ois,0
505,aire,sse,0
506,aire,sses,0
507,aire,s,0
508,aire,éon,0
509,aire,ach[VB],0
510,aire,ais,0
511,aire,[VB]},0
512,aire,ément,33
513,aire,é2,0
514,aire,ot[VB],0
515,aire,iche,0
516,aire,isse,0
517,aire,ill[VB],0
518,aire,onn[VB],0
519,aire,ott[VB],0
520,aire,oure,0
521,aire,crate,0
522,aire,eton,0
523,aire,vore,0
524,aire,ième,49
525,aire,as,87
526,aire,en,38
527,aire,èle,0
528,aire,fi[VB],0
529,aire,ment1,6
530,aire,eret,0
531,aire,el[VB],0
532,aire,ell[VB],0
533,aire,adère,0
534,aire,adères,0
535,aire,let[VB],0
536,aire,aison,0
537,aire,at[VB],0
538,aire,},0
539,aire,otins,0
540,aire,ex,91
541,aire,iqu[VB],10
542,aire,bles,0
543,aire,ign[VB],0
544,aire,ut[VB],0
545,aire,}[VB],0
546,aire,escences,0
547,aire,it[VB],14
548,aire,aux1,0
549,aire,et[VB],0
550,aire,oyant,0
551,aire,oyante,0
552,aire,aient,7
553,aire,oy,0
554,aire,ures3,0
555,aire,aise,0
556,aire,icide,0
557,aire,eure,0
558,aire,oline,0
559,aire,issime,0
560,aire,cul[VB],0
561,aire,ieus,0
562,aire,aul,0
563,aire,bil,0
564,aire,ané,0
565,aire,m,0
566,aire,eteux,0
567,aire,eteaux,0
568,aire,ichons,0
569,aire,iau,0
570,aire,arc,0
571,aire,os[VB],0
572,aire,énaire,22
573,aire,atur,0
574,aire,oit,0
575,aire,oit[VB],0
576,aire,illarde,0
577,aire,igu[VB],0
578,aire,ig[VB],0
579,aire,oi[VB],0
580,aire,isson,0
581,aire,oyantes,0
582,aire,ul[VB],0
583,aire,lur[VB],0
584,aire,iér,0
585,aire,ilent,0
586,aire,ique2,0
587,aire,et1,0
588,aire,ûre,0
589,aire,ûres,0
590,aire,illé,0
591,aire,sant,0
592,aire,ait,0
593,aire,ement[VB],20
594,aire,ass[VB],0
595,aire,ci[VB],0
596,aire,ad[VB],0
597,aire,acé,0
598,aire,ifér[VB],0
599,aire,ab,0
600,aire,a,175
601,aire,ad,0
602,aire,ambi,0
603,aire,anté,0
604,aire,co,59
605,aire,com,0
606,aire,con,122
607,aire,dé,438
608,aire,mé,0
609,aire,mi,0
610,aire,ob,0
611,aire,pan,0
612,aire,pour,34
613,aire,pré,211
614,aire,pro,0
615,aire,rétro,46
616,aire,sau,0
617,aire,sous,0
618,aire,soubre,0
619,aire,sub,0
620,aire,sur,167
621,aire,sus,0
622,aire,syn,0
623,aire,trans,64
624,aire,tri,9
625,aire,ultra,0
626,aire,uni,0
627,aire,ver,0
628,aire,vi,0
629,aire,ana,0
630,aire,anti,0
631,aire,apo,0
632,aire,arch,0
633,aire,archi,0
634,aire,au,0
635,aire,bi,3
636,aire,bis,0
637,aire,contre,28
638,aire,dia,0
639,aire,dys,14
640,aire,entre,125
641,aire,épi,0
642,aire,eu,0
643,aire,extra,0
644,aire,hémi,0
645,aire,hyper,0
646,aire,hypo,0
647,aire,infra,0
648,aire,inter,173
649,aire,juxta,64
650,aire,mono,3
651,aire,par,0
652,aire,para,5
653,aire,pén,9
654,aire,per,0
655,aire,péri,0
656,aire,post,0
657,aire,sé,0
658,aire,super,98
659,aire,su,0
660,aire,tres,0
661,ment,age,994
662,ment,oir,102
663,ment,aye,0
664,ment,ion,3473
665,ment,able,5205
666,ment,ant/ent,2961
667,ment,eur,2435
668,ment,nce,1129
669,ment,ique,598
670,ment,ité,3714
671,ment,enda,20
672,ment,il,104
673,ment,ium,0
674,ment,al,2455
675,ment,é,1320
676,ment,i,152
677,ment,is,207
678,ment,elle,153
679,ment,rium,0
680,ment,esque,0
681,ment,ade,67
682,ment,eau,143
683,ment,er,107
684,ment,et,282
685,ment,ada,30
686,ment,ie,253
687,ment,ure,641
688,ment,ite,111
689,ment,an,84
690,ment,ail,12
691,ment,mat,0
692,ment,ice,205
693,ment,ette,134
694,ment,erine,0
695,ment,ot,142
696,ment,uchon,0
697,ment,uch,0
698,ment,on,519
699,ment,ole,68
700,ment,oul,0
701,ment,ère,155
702,ment,aille,104
703,ment,ène,0
704,ment,ard,195
705,ment,ou,0
706,ment,non,0
707,ment,ing,6
708,ment,éria,0
709,ment,euse,12
710,ment,ier,964
711,ment,asse,42
712,ment,abre,0
713,ment,ide,68
714,ment,ine,35
715,ment,o,209
716,ment,ien,81
717,ment,este,0
718,ment,illon,13
719,ment,ime,0
720,ment,être,0
721,ment,êtres,0
722,ment,in,5507
723,ment,if,1519
724,ment,abule,0
725,ment,ille,5
726,ment,ingue,16
727,ment,ende,0
728,ment,ace,167
729,ment,aste,0
730,ment,ol,0
731,ment,oire,188
732,ment,eux,994
733,ment,erie,348
734,ment,ités,661
735,ment,eul,0
736,ment,èche,0
737,ment,ené,0
738,ment,enée,0
739,ment,ifier,184
740,ment,[VB],8337
741,ment,ibard,5
742,ment,èse,0
743,ment,étique,17
744,ment,ule,39
745,ment,ose,90
746,ment,ésim,152
747,ment,at,73
748,ment,ogne,0
749,ment,ève,36
750,ment,igne,0
751,ment,ingre,0
752,ment,arade,0
753,ment,andum,0
754,ment,iard,0
755,ment,um,0
756,ment,cule,0
757,ment,cules,0
758,ment,dre,0
759,ment,etée,0
760,ment,one,0
761,ment,urne,0
762,ment,ande,0
763,ment,ïa,0
764,ment,­[VB],26
765,ment,ote,59
766,ment,re,4698
767,ment,oy[VB],183
768,ment,elé,0
769,ment,el,2811
770,ment,ain,175
771,ment,ude,167
772,ment,u,39
773,ment,iste,617
774,ment,iatre,12
775,ment,iatres,12
776,ment,iatr,24
777,ment,eut,0
778,ment,éfact,0
779,ment,iceps,0
780,ment,aine,0
781,ment,uor,0
782,ment,ple,0
783,ment,ars,0
784,ment,is[VB],1129
785,ment,acle,0
786,ment,end,32
787,ment,esse,363
788,ment,ouille,48
789,ment,âtre,49
790,ment,otte,32
791,ment,aume,5
792,ment,oche,0
793,ment,ifi[VB],287
794,ment,lège,17
795,ment,aud,190
796,ment,etés,38
797,ment,igaud,6
798,ment,erelle,12
799,ment,iller,13
800,ment,ario,0
801,ment,ifique,7
802,ment,eresse,18
803,ment,émie,0
804,ment,acre,0
805,ment,ifère,22
806,ment,ol[VB],0
807,ment,ar,0
808,ment,ate,0
809,ment,ore,14
810,ment,ell,0
811,ment,ise,35
812,ment,ir,36
813,ment,ème,0
814,ment,in[VB],17
815,ment,atie,0
816,ment,iques2,0
817,ment,inet,0
818,ment,inière,0
819,ment,estre,25
820,ment,ce,0
821,ment,aill[VB],7
822,ment,ereau,0
823,ment,oi,126
824,ment,oie,127
825,ment,oïd,0
826,ment,atum,0
827,ment,arienne,0
828,ment,il[VB],0
829,ment,bule,48
830,ment,ble[VB],0
831,ment,eron,0
832,ment,oble,0
833,ment,ois,46
834,ment,sse,0
835,ment,sses,0
836,ment,s,15
837,ment,éon,0
838,ment,ach[VB],4
839,ment,ais,0
840,ment,[VB]},10
841,ment,ément,105
842,ment,é2,5
843,ment,ot[VB],24
844,ment,iche,13
845,ment,isse,3
846,ment,ill[VB],23
847,ment,onn[VB],0
848,ment,ott[VB],0
849,ment,oure,4
850,ment,crate,0
851,ment,eton,0
852,ment,vore,0
853,ment,ième,14
854,ment,as,635
855,ment,en,2153
856,ment,èle,0
857,ment,fi[VB],0
858,ment,ment1,0
859,ment,eret,16
860,ment,el[VB],3
861,ment,ell[VB],3
862,ment,adère,64
863,ment,adères,32
864,ment,let[VB],0
865,ment,aison,0
866,ment,at[VB],0
867,ment,},0
868,ment,otins,4
869,ment,ex,201
870,ment,iqu[VB],48
871,ment,bles,5
872,ment,ign[VB],26
873,ment,ut[VB],0
874,ment,}[VB],0
875,ment,escences,0
876,ment,it[VB],28
877,ment,aux1,0
878,ment,et[VB],0
879,ment,oyant,6
880,ment,oyante,6
881,ment,aient,14
882,ment,oy,0
883,ment,ures3,0
884,ment,aise,3
885,ment,icide,11
886,ment,eure,0
887,ment,oline,0
888,ment,issime,13
889,ment,cul[VB],0
890,ment,ieus,32
891,ment,aul,0
892,ment,bil,0
893,ment,ané,23
894,ment,m,10
895,ment,eteux,0
896,ment,eteaux,0
897,ment,ichons,0
898,ment,iau,11
899,ment,arc,0
900,ment,os[VB],0
901,ment,énaire,0
902,ment,atur,0
903,ment,oit,15
904,ment,oit[VB],7
905,ment,illarde,0
906,ment,igu[VB],0
907,ment,ig[VB],0
908,ment,oi[VB],132
909,ment,isson,0
910,ment,oyantes,0
911,ment,ul[VB],0
912,ment,lur[VB],0
913,ment,iér,0
914,ment,ilent,0
915,ment,ique2,0
916,ment,et1,0
917,ment,ûre,0
918,ment,ûres,0
919,ment,illé,0
920,ment,sant,30
921,ment,ait,0
922,ment,ement[VB],100
923,ment,ass[VB],6
924,ment,ci[VB],0
925,ment,ad[VB],0
926,ment,acé,0
927,ment,ifér[VB],11
928,ment,ab,14
929,ment,a,3382
930,ment,ad,79
931,ment,ambi,38
932,ment,anté,44
933,ment,co,104
934,ment,com,219
935,ment,con,992
936,ment,dé,3536
937,ment,mé,43
938,ment,mi,0
939,ment,ob,73
940,ment,pan,0
941,ment,pour,160
942,ment,pré,1321
943,ment,pro,191
944,ment,rétro,78
945,ment,sau,33
946,ment,sous,268
947,ment,soubre,0
948,ment,sub,48
949,ment,sur,438
950,ment,sus,0
951,ment,syn,0
952,ment,trans,306
953,ment,tri,119
954,ment,ultra,370
955,ment,uni,72
956,ment,ver,0
957,ment,vi,0
958,ment,ana,10
959,ment,anti,16
960,ment,apo,10
961,ment,arch,0
962,ment,archi,0
963,ment,au,126
964,ment,bi,35
965,ment,bis,0
966,ment,contre,506
967,ment,dia,10
968,ment,dys,29
969,ment,entre,196
970,ment,épi,10
971,ment,eu,0
972,ment,extra,7
973,ment,hémi,0
974,ment,hyper,10
975,ment,hypo,0
976,ment,infra,26
977,ment,inter,113
978,ment,juxta,64
979,ment,mono,10
980,ment,par,52
981,ment,para,0
982,ment,pén,0
983,ment,per,11
984,ment,péri,0
985,ment,post,0
986,ment,sé,5
987,ment,super,98
988,ment,su,0
989,ment,tres,0
990,age,oir,68
991,age,aye,0
992,age,ion,245
993,age,able,266
994,age,ant/ent,409
995,age,eur,570
996,age,nce,27
997,age,ique,176
998,age,ité,127
999,age,enda,0
1000,age,il,46
1001,age,ium,0
1002,age,al,106
1003,age,é,377
1004,age,i,3
1005,age,is,184
1006,age,elle,138
1007,age,rium,0
1008,age,esque,0
1009,age,ade,29
1010,age,eau,62
1011,age,er,120
1012,age,et,224
1013,age,ada,0
1014,age,ie,15
1015,age,ure,437
1016,age,ite,0
1017,age,an,21
1018,age,ail,7
1019,age,mat,0
1020,age,ice,0
1021,age,ette,102
1022,age,erine,0
1023,age,ot,38
1024,age,uchon,38
1025,age,uch,38
1026,age,on,494
1027,age,ole,25
1028,age,oul,9
1029,age,ère,84
1030,age,aille,15
1031,age,ène,0
1032,age,ard,80
1033,age,ou,0
1034,age,non,0
1035,age,ing,0
1036,age,éria,0
1037,age,euse,0
1038,age,ier,290
1039,age,asse,19
1040,age,abre,0
1041,age,ide,0
1042,age,ine,36
1043,age,o,20
1044,age,ien,25
1045,age,este,0
1046,age,illon,0
1047,age,ime,0
1048,age,être,0
1049,age,êtres,0
1050,age,in,348
1051,age,if,111
1052,age,abule,0
1053,age,ille,0
1054,age,ingue,0
1055,age,ende,0
1056,age,ace,0
1057,age,aste,0
1058,age,ol,0
1059,age,oire,113
1060,age,eux,94
1061,age,erie,62
1062,age,ités,51
1063,age,eul,0
1064,age,èche,0
1065,age,ené,0
1066,age,enée,0
1067,age,ifier,8
1068,age,[VB],2396
1069,age,ibard,0
1070,age,èse,0
1071,age,étique,0
1072,age,ule,6
1073,age,ose,0
1074,age,ésim,0
1075,age,at,3
1076,age,ogne,0
1077,age,ève,0
1078,age,igne,0
1079,age,ingre,0
1080,age,arade,14
1081,age,andum,0
1082,age,iard,0
1083,age,um,0
1084,age,cule,0
1085,age,cules,0
1086,age,dre,0
1087,age,etée,0
1088,age,one,0
1089,age,urne,0
1090,age,ande,0
1091,age,ïa,0
1092,age,­[VB],0
1093,age,ote,0
1094,age,re,1204
1095,age,oy[VB],150
1096,age,elé,0
1097,age,el,111
1098,age,ain,50
1099,age,ude,0
1100,age,u,40
1101,age,iste,335
1102,age,iatre,0
1103,age,iatres,0
1104,age,iatr,0
1105,age,eut,0
1106,age,éfact,0
1107,age,iceps,0
1108,age,aine,0
1109,age,uor,0
1110,age,ple,12
1111,age,ars,0
1112,age,is[VB],80
1113,age,acle,0
1114,age,end,0
1115,age,esse,0
1116,age,ouille,26
1117,age,âtre,7
1118,age,otte,0
1119,age,aume,0
1120,age,oche,0
1121,age,ifi[VB],48
1122,age,lège,0
1123,age,aud,0
1124,age,etés,0
1125,age,igaud,0
1126,age,erelle,36
1127,age,iller,13
1128,age,ario,0
1129,age,ifique,0
1130,age,eresse,0
1131,age,émie,0
1132,age,acre,0
1133,age,ifère,0
1134,age,ol[VB],0
1135,age,ar,0
1136,age,ate,0
1137,age,ore,0
1138,age,ell,0
1139,age,ise,3
1140,age,ir,0
1141,age,ème,0
1142,age,in[VB],0
1143,age,atie,0
1144,age,iques2,0
1145,age,inet,0
1146,age,inière,0
1147,age,estre,25
1148,age,ce,0
1149,age,aill[VB],11
1150,age,ereau,0
1151,age,oi,126
1152,age,oie,126
1153,age,oïd,0
1154,age,atum,0
1155,age,arienne,0
1156,age,il[VB],0
1157,age,bule,0
1158,age,ble[VB],0
1159,age,eron,0
1160,age,oble,0
1161,age,ois,45
1162,age,sse,0
1163,age,sses,0
1164,age,s,0
1165,age,éon,40
1166,age,ach[VB],0
1167,age,ais,0
1168,age,[VB]},0
1169,age,ément,23
1170,age,é2,0
1171,age,ot[VB],6
1172,age,iche,0
1173,age,isse,0
1174,age,ill[VB],3
1175,age,onn[VB],0
1176,age,ott[VB],0
1177,age,oure,0
1178,age,crate,0
1179,age,eton,0
1180,age,vore,16
1181,age,ième,0
1182,age,as,0
1183,age,en,1049
1184,age,èle,0
1185,age,fi[VB],0
1186,age,ment1,0
1187,age,eret,16
1188,age,el[VB],0
1189,age,ell[VB],0
1190,age,adère,0
1191,age,adères,0
1192,age,let[VB],0
1193,age,aison,0
1194,age,at[VB],0
1195,age,},0
1196,age,otins,0
1197,age,ex,33
1198,age,iqu[VB],0
1199,age,bles,0
1200,age,ign[VB],26
1201,age,ut[VB],0
1202,age,}[VB],0
1203,age,escences,0
1204,age,it[VB],0
1205,age,aux1,0
1206,age,et[VB],26
1207,age,oyant,0
1208,age,oyante,0
1209,age,aient,0
1210,age,oy,0
1211,age,ures3,0
1212,age,aise,0
1213,age,icide,0
1214,age,eure,0
1215,age,oline,0
1216,age,issime,0
1217,age,cul[VB],0
1218,age,ieus,0
1219,age,aul,0
1220,age,bil,0
1221,age,ané,0
1222,age,m,0
1223,age,eteux,0
1224,age,eteaux,0
1225,age,ichons,0
1226,age,iau,0
1227,age,arc,0
1228,age,os[VB],0
1229,age,énaire,0
1230,age,atur,0
1231,age,oit,0
1232,age,oit[VB],0
1233,age,illarde,0
1234,age,igu[VB],0
1235,age,ig[VB],0
1236,age,oi[VB],132
1237,age,isson,0
1238,age,oyantes,0
1239,age,ul[VB],0
1240,age,lur[VB],0
1241,age,iér,0
1242,age,ilent,0
1243,age,ique2,0
1244,age,et1,11
1245,age,ûre,11
1246,age,ûres,11
1247,age,illé,0
1248,age,sant,0
1249,age,ait,0
1250,age,ement[VB],20
1251,age,ass[VB],0
1252,age,ci[VB],0
1253,age,ad[VB],0
1254,age,acé,0
1255,age,ifér[VB],0
1256,age,ab,0
1257,age,a,860
1258,age,ad,0
1259,age,ambi,0
1260,age,anté,0
1261,age,co,28
1262,age,com,0
1263,age,con,273
1264,age,dé,1355
1265,age,mé,0
1266,age,mi,0
1267,age,ob,0
1268,age,pan,0
1269,age,pour,126
1270,age,pré,18
1271,age,pro,0
1272,age,rétro,0
1273,age,sau,34
1274,age,sous,52
1275,age,soubre,0
1276,age,sub,0
1277,age,sur,53
1278,age,sus,0
1279,age,syn,0
1280,age,trans,79
1281,age,tri,48
1282,age,ultra,0
1283,age,uni,0
1284,age,ver,0
1285,age,vi,0
1286,age,ana,0
1287,age,anti,0
1288,age,apo,0
1289,age,arch,0
1290,age,archi,0
1291,age,au,126
1292,age,bi,10
1293,age,bis,0
1294,age,contre,16
1295,age,dia,0
1296,age,dys,0
1297,age,entre,16
1298,age,épi,0
1299,age,eu,0
1300,age,extra,0
1301,age,hémi,10
1302,age,hyper,0
1303,age,hypo,0
1304,age,infra,0
1305,age,inter,0
1306,age,juxta,0
1307,age,mono,20
1308,age,par,15
1309,age,para,0
1310,age,pén,12
1311,age,per,0
1312,age,péri,0
1313,age,post,0
1314,age,sé,0
1315,age,super,0
1316,age,su,0
1317,age,tres,0
1318,oir,aye,0
1319,oir,ion,14
1320,oir,able,27
1321,oir,ant/ent,67
1322,oir,eur,89
1323,oir,nce,0
1324,oir,ique,0
1325,oir,ité,15
1326,oir,enda,0
1327,oir,il,0
1328,oir,ium,0
1329,oir,al,32
1330,oir,é,43
1331,oir,i,0
1332,oir,is,32
1333,oir,elle,0
1334,oir,rium,0
1335,oir,esque,0
1336,oir,ade,14
1337,oir,eau,25
1338,oir,er,0
1339,oir,et,8
1340,oir,ada,0
1341,oir,ie,0
1342,oir,ure,17
1343,oir,ite,0
1344,oir,an,0
1345,oir,ail,0
